City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,stornoway,58.2093,-6.3865,281.13,88,20,5.66,GB,1702008201
123,constantia,44.1833,28.65,273.54,85,100,7.62,RO,1702008202
124,lebu,-37.6167,-73.65,285.15,86,0,6.72,CL,1702008202
125,praia da vitoria,38.7333,-27.0667,293.29,88,40,13.56,PT,1702008203
126,mount gambier,-37.8333,140.7667,298.22,51,73,3.97,AU,1702008203
127,labrador city,52.9463,-66.9114,263.1,85,75,5.14,CA,1702008204
128,harlingen,26.1906,-97.6961,294.76,94,86,5.61,US,1702008086
129,pukchil-lodongjagu,40.2019,125.7483,277.56,94,100,1.45,KP,1702008204
130,uturoa,-16.7333,-151.4333,299.93,80,50,3.32,PF,1702008205
131,san luis de la loma,17.2706,-100.8939,298.42,77,8,1.67,MX,1702008206
132,nar'yan-mar,67.6713,53.087,258.77,96,100,3.58,RU,1702007923
133,piacabucu,-10.4056,-36.4344,298.28,83,74,4.09,BR,1702008207
134,port elizabeth,-33.918,25.5701,292.31,82,100,11.32,ZA,1702008207
135,friedland,51.4167,9.9333,273.29,80,100,3.58,DE,1702008208
136,fort mcmurray,56.7268,-111.381,268.92,80,0,5.14,CA,1702008104
137,arno,60.1167,18.6333,273.03,98,100,4.25,SE,1702008209
138,ancud,-41.8697,-73.8203,284.12,83,0,3.09,CL,1702008036
139,uberaba,-19.7483,-47.9319,301.47,54,20,2.57,BR,1702008075
140,antofagasta,-23.65,-70.4,290.75,83,43,1.28,CL,1702008210
141,nangomba,-10.9,38.5,297.79,84,62,0.97,TZ,1702008210
142,lihue,21.9789,-159.3672,298.73,80,75,4.12,US,1702008211
143,tolanaro,-25.0319,46.9987,296.19,83,40,7.2,MG,1702008211
144,copala,16.65,-98.9833,298.63,78,55,1.35,MX,1702008212
145,kone,-21.0595,164.8658,300.29,56,100,4.27,NC,1702008212
146,steamboat springs,40.485,-106.8317,272.46,86,100,3.6,US,1702007985
147,crane,31.3974,-102.3501,288.78,59,0,6.51,US,1702008213
148,ulladulla,-35.35,150.4667,300.87,59,97,5.51,AU,1702008214
149,la passe,45.5549,-0.8967,284.28,89,100,4.43,FR,1702008214
150,stanley,54.868,-1.6985,278.02,96,100,3.6,GB,1702008214
151,khandyga,62.6667,135.6,246.01,98,100,1.96,RU,1702008215
152,anadyr,64.75,177.4833,252.43,84,6,11.0,RU,1702008215
153,price,39.5994,-110.8107,277.1,48,0,7.2,US,1702008216
154,gadzhiyevo,69.2551,33.3362,258.85,96,94,6.71,RU,1702008217
155,cabo san lucas,22.8909,-109.9124,297.88,65,0,0.89,MX,1702007734
156,kavieng,-2.5744,150.7967,301.1,78,100,3.03,PG,1702008218
157,seven pagodas,12.6264,80.1722,301.18,74,87,3.66,IN,1702008218
158,mek'ele,13.4967,39.4753,285.53,74,1,3.13,ET,1702008218
159,pangai,-19.8,-174.35,303.21,70,20,4.63,TO,1702008219
160,sao jose da coroa grande,-8.8978,-35.1478,298.16,82,93,3.47,BR,1702008219
161,esperanca,-7.0331,-35.8572,295.36,93,67,3.55,BR,1702008143
162,east london,-33.0153,27.9116,293.67,83,0,2.06,ZA,1702008220
163,waddan,29.1614,16.139,284.56,91,5,3.87,LY,1702008221
164,vorgashor,67.5833,63.95,248.6,99,100,1.57,RU,1702008221
165,rongelap,11.1635,166.8941,300.53,83,36,9.64,MH,1702008222
166,hammerfest,70.6634,23.6821,267.4,68,69,5.66,NO,1702008222
167,hithadhoo,-0.6,73.0833,301.16,76,96,4.06,MV,1702008223
168,badger,64.8,-147.5333,254.46,78,75,2.57,US,1702008223
169,sylhet,24.5,91.6667,292.97,95,100,2.12,BD,1702008020
170,murghob,38.1702,73.9667,260.68,56,77,1.5,TJ,1702008226
171,touros,-5.1989,-35.4608,299.35,79,38,5.89,BR,1702008226
172,weno,7.4515,151.8468,303.12,74,100,5.14,FM,1702008227
173,punta arenas,-53.15,-70.9167,280.21,81,0,0.0,CL,1702008157
174,ubinskoye,55.3068,79.6802,238.29,98,40,1.99,RU,1702008227
175,ugoofaaru,5.6667,73.0,301.36,80,100,9.69,MV,1702008228
176,amga,60.8953,131.9608,241.89,95,100,2.74,RU,1702008228
177,merizo village,13.2658,144.6691,304.46,83,100,7.95,GU,1702008229
178,maues,-3.3836,-57.7186,296.83,96,99,1.1,BR,1702008229
179,ocean shores,46.9737,-124.1563,282.01,84,75,2.24,US,1702008229
180,polyarnyy,69.1989,33.4478,259.51,94,91,7.11,RU,1702008230
181,bathsheba,13.2167,-59.5167,298.49,94,40,6.17,BB,1702008230
182,trairi,-3.2778,-39.2689,299.57,79,57,4.25,BR,1702007938
183,tiksi,71.6872,128.8694,239.72,100,92,1.48,RU,1702008231
184,okondja,-0.6549,13.6753,294.28,98,98,0.71,GA,1702008231
185,san antonio de pale,-1.4014,5.6325,299.15,82,100,1.33,GQ,1702008232
186,arkhangel'sk,64.5401,40.5433,252.65,83,100,3.0,RU,1702007955
187,peace river,56.2501,-117.286,263.32,92,0,4.12,CA,1702008233
188,port mathurin,-19.6833,63.4167,299.15,73,9,3.75,MU,1702008234
189,terter,40.345,46.9289,281.64,86,97,4.32,AZ,1702008234
190,vylkove,45.4021,29.586,275.18,90,100,5.62,UA,1702008235
191,mozarlandia,-14.7447,-50.5706,300.65,36,12,2.72,BR,1702008235
192,arraial do cabo,-22.9661,-42.0278,296.87,92,19,5.63,BR,1702008203
193,leava,-14.3,-178.1667,301.47,78,68,6.63,WF,1702008236
194,gutierrez zamora,20.45,-97.0833,293.88,93,100,3.3,MX,1702008236
195,bogande,12.9714,-0.1436,295.12,14,72,3.87,BF,1702008237
196,ciudad lazaro cardenas,17.9583,-102.2,298.28,79,6,1.26,MX,1702008237
197,la ronge,55.1001,-105.2842,265.29,93,0,3.09,CA,1702008238
198,tavda,58.0425,65.2726,244.09,96,27,1.79,RU,1702008075
199,kuta,-8.7233,115.1723,303.15,74,20,4.12,ID,1702008238
200,zeya,53.75,127.2667,251.75,84,100,0.87,RU,1702008239
201,tranent,55.9444,-2.9541,279.2,89,99,0.45,GB,1702008239
202,thoothukudi,8.8054,78.1453,302.31,84,20,1.54,IN,1702008240
203,demba,-5.51,22.2667,293.23,100,100,0.3,CD,1702008240
204,dunedin,-45.8742,170.5036,288.47,71,100,4.42,NZ,1702008241
